,名称,图画信息,图画标签,图片信息
769,倣趙伯驌後赤壁圖卷,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨 收藏地点： 台北故宫博物院,中国山水画 山水 房屋 人物 树木,
770,书札册007,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书s 书札,
771,书札册006,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
772,东林避暑图卷,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画,书法篆刻 材质： 水墨,纸本 尺寸： 31.8 ×107.3 cm 收藏地点： 大都会艺术博物馆",中国书法 中国山水画 山水 树木 小船 人物 房屋 瀑布,
773,三友图卷,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 26.1*475.5cm 收藏地点： 故宫博物院",中国书法 中国花鸟画 兰 菊 竹 行书,此手卷画的是岁寒三友—兰、菊、竹，并有文氏亲笔题咏。用笔写意、简率之中见生动秀逸之致，墨色清润淡雅，显示了诗、书、画结合的笔墨境界。
774,万壑争流图轴,"创作者： 文徵明 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 132.7X35.3 收藏地点： 南京博物院",中国山水画 山水 河流 树木 人物,
775,扇面书法,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,中国扇面书法 行书,
776,扇面16开-16,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 题字 竹叶 树干,
777,扇面16开-15,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 岩石 树干,
778,扇面16开-11,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 岩石 竹叶,
779,扇面16开-10,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 小舟 树 河流 山,
780,扇面16开-09,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 题字 山峰 树,
781,扇面16开-08,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 题字 草棚 人 岩石 树,
782,扇面16开-06,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 马 河流 人 树 山峰,
783,扇面16开-04,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 树 河流 人 小舟 山峰,
784,三羊开泰,创作者： 朱瞻基 所属时期： 明代 题材： 动物画 材质： 纸本 尺寸： 211.6x142cm 收藏地点： 台北故宫博物院,动物画作 羊 树,纸本，设色，211.6*142.cm，台北国立故宫博物院藏。三羊开泰寓意吉祥如意，祝愿一年好光景，为传统节日祝福画。图绘一只高大矫健，皮毛灰白，竖起高高羊角的壮年羊，二只黑白相间小羊，在空旷之地觅食，身后绘湖石、竹子相伴。朱瞻基，明宣宗，为明代最具艺术天份和才华皇帝。
785,得趣在人册13开06,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 谷穗 鸟 花 树叶,
786,得趣在人4,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 芭蕉树 岩石 扇子 卧榻 书 火炉 瓶子,
787,玩古图轴,创作者： 杜堇 所属时期： 明代 尺寸： 126.1×187cm 收藏地点： 台北故宫博物院,杜堇画作 人 树 桌子 山 石,绢本，设色，126.1*187cm，国立故宫博物馆藏。 此《玩古图》为双拼图，描绘鉴赏古器和琴棋书画等文人的游艺活动。画面上共有六人，二位长须老者细细欣赏桌上的古玩，前面一少年手持蒲扇聚精会神扑蝶，右后方俩仕女面含微笑，似正在聊琴棋。六人中有三人额头点白，似有唐人作画风格。杜堇
788,悟阳子诗叙（行书）,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 29.5x103cm 收藏地点： 辽宁省博物馆",中国书法 行书,纸本，行书，29.5x103cm，辽宁博物馆藏。此幅诗叙是文徵明为唐寅所画的《悟阳子养性图》所作的叙，馆内也发布了唐寅的《悟阳子养性图全卷》，全卷包括唐寅的画和文徵明所作的诗叙，大家可以搜索“悟阳子”查看。
789,山水诗画册5,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 26.4×27.3cm 收藏地点： 大都会艺术博物馆",中国山水画 树木 河流 亭子,
790,山水诗画册3,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 26.4×27.3cm 收藏地点： 大都会艺术博物馆",中国山水画 房屋 河流 竹 人物,
791,山水扇页,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,中国扇面山水画 山石 树木 人物 马,
792,小楷太上老君说常清静经老子列传卷,"创作者： 文徵明 创作时间： 1537 年 （66岁） 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 24*194cm 收藏地点： 旅顺博物馆",中国书法 小楷,
793,小楷书千字文,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 34x74cm",中国书法 楷书,拓本，楷书，34x74cm。此幅《千字文》作于嘉靖乙未年，字迹清秀、工整，字字有力，似镌刻般刻入纸上。本幅虽为拓本，字迹仍很清楚，笔峰仍挺立，只是少了一些温润，笔划上稍显僵硬。此幅《千金文》亦是一幅不错的小楷字帖。
794,品茶图轴,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 142.31X 40.89cm 收藏地点： 台北故宫博物院",中国山水画 山水 树木 房屋 人物 桥,纸本，设色，142.31X 40.89cm，台北故宫博物院藏。图绘一山清水秀的地方，坐落着茅屋三二间，四周树木苍翠，屋前流水潺潺；明亮整齐的屋内一尘不染，二位雅士围坐茶几品茶聊天，一小童在另一间房内扇火烧水，远处群山起伏，山峰高耸。画面干净整洁，层次分明，景色宜人，似人间仙境。
795,黄山天都峰图,创作者： 梅清 所属时期： 明代 题材： 风景画 材质： 纸本 尺寸： 184.2x48.8cm 收藏地点： 辽宁省博物馆,风景画作 山 房子 树,纸本，水墨，184.2x48.8cm，辽宁博物馆藏。图绘黄山天都峰高耸入云，奇险陡峭，山腰处云雾环绕，丝带式的云带飘浮如入仙境。技法上，山岩以折带皴绘制，皴染结合，层次多变。梅清 ，字渊公，清代画家，被誉为“黄山派”巨子。
796,鸣泉图,创作者： 梅清 所属时期： 明代 题材： 风景画 材质： 纸本 尺寸： 54.3x184.4cm,风景画作 山 泉水,纸本，淡设色，54.3x184.4cm，收藏不详。图绘高山山脉层层叠叠，脉络清晰，一泓泉水倾泻而下，气势恢弘，直击潭底，撞成雾状；一老者站在一山峰上，执仗观望对面的水柱。梅清，字渊公，号瞿山，明代画家，安徽宣城人，与石涛、渐江等被称为书画界“黄山派”。
797,红叶秋禽图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 35.8x94.7cm,蓝瑛作品 武林派 勾花点叶 枯树 鸟 叶子,纸本，淡设色，35.8x94.7cm，收藏不详。绘深秋古木一棵，枝杆遒劲枯槁，枝头红叶稀疏，似随风飘零，二只鸟儿立于枝上，黑背红腹，羽毛蓬松，体型如球。画面上端有画家题诗一道：清霜夜来白，古桕叶翻红。 束羽双啼鸟，寒枝逆晚风。
798,秋色梧桐图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 材质： 纸本 尺寸： 65X32cm 收藏地点： 故宫博物院,水墨双勾 彩色晕染 灵动 梧桐叶 鸟,纸本，设色，65X32cm，故宫博物院藏。绘折枝梧桐和丹枫各一枝，梧桐枝下垂，墨色绘叶面宽大，枝头果实累累，一只鸟儿立于枝上，挺直的身体观望前方；丹枫顶部入画，双钩绘法，粉色晕染叶面，秋色中，一树粉叶更显娇嫩可爱。
799,白云红树图轴,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 材质： 绢画 尺寸： 189.4x48cm 收藏地点： 台北故宫博物院,蓝瑛作品 武林派 设色古雅 群山 树木 小桥 行人,绢本，青绿设色，189.4*48cm，台北故宫博物院藏。图绘群山数座，树森葱郁，以红绿装扮，绚丽多彩。此幅以没骨法画法，以石青、石绿色画山石，用朱砂画小草，树叶也用浓艳的红、黄、青、绿没骨点出，云用白粉渲染。画面色彩浓重丰富，却又典雅清新。
800,澄观图册7,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,山水作品 蓝瑛作品 笔法秀润 山峰 树木 九曲叠瀑,
801,千岩竞秀,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 132x34cm 收藏地点： 台北故宫博物院",中国山水画 山 树木 河流 瀑布 人物,
802,兰亭修契图全卷,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 27x146cm",中国山水画 山水 亭阁 树木 人物,
803,五律诗立轴（行书）,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 131.5cx63.5 收藏地点： 故宫博物院",中国书法 行书,纸本， 行书，131.5×63.5cm，故宫博物院藏。此幅五律诗笔法遒逸俊美，婉转刚毅，挥洒自如；风格温润秀劲，稳重老成而又不乏生动活泼。诗意：晚得酒中趣，三杯时畅然。难忘是花下，何物胜樽前。世事有千变，人生无百年。还应骑马客，输我北窗眠。
804,书札册016,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 书札 行书,
805,书札册015,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 书札 行书,
806,澄观图册5,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,蓝瑛作品 松江画派风格 山水作品 山峰 树木 房屋,
807,溪山雪霁图,创作者： 蓝瑛 所属时期： 明代 材质： 绢画 尺寸： 82.3＊28.9cm 收藏地点： 台北故宫博物院,蓝瑛作品 台北故宫博物院藏 笔法秀润 松树 山峰 白雪 高士,绢本，设色，82.3＊28.9cm，台北故宫博称院藏。绘溪山雪后之景，远处山峰高耸，山上树木稀疏；山间中树木枝桠上薄雪覆盖，细枝上挂的冰棱，晶莹剔透；山脚松柏已消融，而红叶上仍点存点点白雪，一舟靠岸，着红衣高士坐船头欣赏雪后山川美景。
808,松萝晚翠图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 材质： 绢画 尺寸： 55.6x159.5cm,笔墨秀润 蓝瑛作品 轻简 山峰 树木 寺庙 房屋,
809,山水图轴,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 尺寸： 70x38cm,蓝瑛作品 山水作品 笔墨灵动 文人画 山峰 溪水 瀑布 高士 渔船 桃花,绢本，设色，70x38cm，收藏不详。图绘高山奇峰，山石悬崖绝壁；山谷中一线瀑布如白练倾泻，落入谷中，溪上数座楼阁；一桥横跨两岸，一翁手执细杆正待过桥；近处溪水汇成河塘，一船只停泊水面，渔夫坐于船头观景，岸上松树遒劲繁茂，桃花盛开，一派春日融融之景。
810,山水图扇面,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 35x65cm,蓝瑛作品 文人山水 笔墨秀润 山峰 河水 房屋,
811,山水十开7,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,蓝瑛作品 笔墨秀润 文人山水 山峰 渔船 渔夫 水草,
812,山水十开5,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,文人山水 蓝瑛作品 笔墨秀润 房屋 高士 山峰 树木,
813,山水十开4,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,文人山水 蓝瑛作品 浅绛山水 山 石 河水 桃花 亭台 l,
814,山水十开3,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,蓝瑛作品 山水作品 文人画 早期作品 松江派风格 山峰 溪水 小舟 渔夫 树木 房屋,
815,山水十开2,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,文人山水 笔墨秀润 松江派风格 蓝瑛作品 山峰 树木 房子 河水 渔船 渔夫,
816,山水十开10,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,蓝瑛作品 构图严谨 浅设色 文人山水 笔墨秀润 童子 高士 山峰 树木,
817,山水十开1,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 26.4x37.2cm,蓝瑛作品 文人山水 房屋 小桥 山峰 树木,
818,仿黄鹤山樵山水,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 76.5x215.6cm,蓝瑛作品 山水作品 灵动跳宕 童子 房屋 山 树木 高士,纸本，设色，76.5x215.6cm， 天津市艺术博物馆藏。图绘丛山峻岭，树木郁郁葱葱，红叶翩翩似已入秋。近处茅屋亭厅数座，一厅内二人谈笑甚欢，另一厅内摆放茶桌二张，一童子正在忙碌。技法上，以小皴勾画山峰，以点墨标示远处树木，为一幅笔墨既繁杂又细致的山水画。
819,仿黄公望山水图扇面,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 尺寸： 16.8x52.1cm,黄公望风格 文人山水 笔墨精致 蓝瑛作品 山峰 茅屋 树木,
820,仿宋元册页12开9,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人山水 笔墨精致 严谨构图 山峰 树木 小舟 渔夫,
821,仿宋元册页12开8,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人山水 笔墨秀润 蓝瑛作品 浅绛山水 山峰 树木 渔夫 小舟,
822,仿宋元册页12开7,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,仿宋元笔墨 文人山水 蓝瑛作品 构图严谨 山峰 树木 溪水 小桥,
823,仿宋元册页12开6,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,山水题材 笔墨精致 浅着色 山峰 树木 河水,
824,仿宋元册页12开5,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,仿米芾风格 文人山水 水墨氤氲 山峰 树木 溪水,
825,仿宋元册页12开4,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,仿米芾风格 文人山水 水墨氤氲 山峰 树木 河水 茅屋,
826,仿宋元册页12开3,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人山水 笔墨精致 蓝瑛作品 水草 山峰 树木 茅屋,
827,仿宋元册页12开2,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,山水作品 笔墨精致 侧锋用笔 山峰 树木 寺庙 雪,
828,仿宋元册页12开12,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,山水作品 倪瓒风格 笔墨精致 枯树 竹子 山石,
829,仿宋元册页12开11,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人山水 笔墨精致 水墨氤氲 房屋 树木 山峰,
830,仿宋元册页12开10,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人笔墨 山水作品 蓝瑛作品 高士 树木 山峰,
831,仿宋元册页12开1,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 册页,文人山水 笔墨精致 蓝瑛作品 山峰 树木 小舟 渔夫,
832,书札册013,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
833,书札册012,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
834,书札册011,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
835,书札册010,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
836,书札册009,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
837,书札册004,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
838,书札册003,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
839,书札册002,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
840,书札册001,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 书札 行书,此套《书札册》共计17幅，内容类似于日记，为文徵明所思所为的一个记录，现藏于故宫博物院。
841,云壑高逸图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 66.8x172.4cm,文人山水 笔墨秀润 蓝瑛作品 高士 小桥 茅屋 树木 山峰,
842,杏园雅集图卷,创作者： 谢环 所属时期： 明代 材质： 绢画 尺寸： 37 x 401 cm 收藏地点： 镇江博物馆,谢环名画 竹林 假山 椅子 水缸 白鹤 画卷 帽子 案牍,绢本设色，37*401厘米，镇江市博物馆藏。此图卷描绘了明正统二年，内阁大臣杨士奇、杨荣、杨溥及画家等十人在杨荣的杏园聚会之情景。画面上人物达二十多位，园子里树木成荫，竹林成片，假山点缀，桌子、椅子一应俱全，文人官宦写诗作画，其乐融融。谢环，，字庭循，后以字行，宫廷画有，知学问
843,杏园雅集图（部分）,创作者： 谢环 所属时期： 明代,,据查资料得知此幅图应叫《香山九老图》，不知道为何此处为《杏园雅集图》？绢本设色，29.8x 148.2厘米，美国克利夫兰美术馆藏。此画描绘的是诗人白居易晚年在故里香山与文人胡杲等八位志趣相投的老人集会，又称”九老会“，他们退身隐居，远离世俗，一起诗词歌赋，游山玩水，令人向往！
844,上博画集选纸本9-2,创作者： 郭诩 所属时期： 明代 题材： 神话绘画 收藏地点： 上海博物馆,郭诩作品 神农 百草 披风,
845,得趣在人5,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 岩石 蝴蝶 花 树叶,
846,得趣在人3,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 花 鸟 树叶 花瓶,
847,雪溪图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绫本 尺寸： 27×38cm,文人山水 浅着色 精致笔墨 山峰 树木 房屋 小舟 渔夫,
848,秋山渔隐图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 44.9x138.8cm 收藏地点： 天津博物馆,文人山水 诗情画意 蓝瑛作品 山峰 茅屋 古木 船只,纸本，设色，139.5x45cm，天津博物馆藏。绘乡间田园景色，远处山峰高耸，山脚下农舍排列整齐，栅栏四周树木环绕；近处河面上二只棚船停泊，船尾两人对坐而谈；岸上古木黝黑挺直，深秋季节中树叶凋零。纵观整幅，山水人家，古木船只，皆赋诗情画意。
849,秋山幽居图卷,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 尺寸： 26.3x246.5cm,精致笔墨 文人山水 蓝瑛作品 茅屋 树木 山峰 河水,
850,蕉林酌酒图,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画,人物画 材质： 绢画,水墨 尺寸： 156.2*107cm 收藏地点： 天津博物馆",中国文人画 芭蕉 湖石 高士 饮酒 石桌 摆件 女子 采菊 烹茶,绢本，设色，156.2*107cm，天津市艺术博物馆藏。图绘空旷芭蕉林中，湖石耸立，形状嶙峋；两棵巨大的芭蕉树，叶大且绿；树下一高士把酒沉思，面前的石桌浑然天成，桌上物件摆放有序；画近处两位女子采菊烹茶，忙碌娴熟。图上蕉叶以线勾勒，后染淡雅色彩，自然清新。
851,花鸟精品册15,"创作者： 陈洪绶 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 28.5×23cm",中国书法 题记,
852,花鸟精品册13,"创作者： 陈洪绶 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 28.5×23cm",中国书法 题记,
853,花鸟精品册11,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 28.5×23cm",中国花鸟画 湖石 树枝 花,
854,花鸟精品册10,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 28.5×23cm",中国花鸟画 花 叶,
855,梅花小鸟,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 22.2x21cm",中国花鸟画 梅树 梅花 鸟,绢本，设色，22.2x21cm，收藏不详。图绘遒劲的老梅枝梅花朵朵，红色花朵艳丽，梅枝上站立一只背黑肚白的鸟儿，羽毛丰满，眼神坚毅，栩栩如生。此幅小图像素不太高，但画家把鸟儿的警觉和神气活现的神态都体现出来了，见画犹如见真物。
856,林亭清话图扇面9,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 山石 花 鸟,
857,林亭清话图扇面8,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 梅花 鸟,
858,林亭清话图扇面7,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 山石 树木 杂草,
859,林亭清话图扇面4,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画,人物画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 山石 人物 芭蕉叶,
860,林亭清话图扇面2,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 树木 山石,
861,林亭清话图扇面13,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面人物画 人物 杖,
862,澄观图册合卷,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 42.5*23.2cm,精致笔墨 诗情画意 文人山水 山峰 老翁 雪 雨 树木,纸本，设色，12开，每开42.5*23.2cm，北京博物馆藏。图绘春夏秋冬山间的四季景色，以及雪后、雨后等自然景色，画家以多图描绘了一老翁游山玩水赏景的过程，以及季节变换展示出不同美景。蓝瑛，字田叔，号蝶叟，明代画家；工书善画，长于山水、花鸟、梅竹，尤以山水著名。
863,澄观图册6,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,青绿设色 文人山水 蓝瑛作品 高士 茅屋 山峰 树木,
864,澄观图册4,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,文人笔墨 诗情画意 胸中丘壑 房屋 树木 小船 渔夫 山峰,
865,澄观图册3,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,蓝瑛作品 色彩丰富 笔墨精致 山峰 树木 溪水 云朵,
866,澄观图册2,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,蓝瑛作品 明代作品 山水作品 精致笔墨 山峰 树木 云朵 溪水 大雁,
867,澄观图册1,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画,文人山水 诗情画意 蓝瑛作品 笔墨精致 渔船 渔夫 山峰 树木,
868,溪阁清言图,创作者： 蓝瑛 风格流派： 武林派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 167.5X48cm 收藏地点： 台北故宫博物院,文人山水 笔墨精致 蓝瑛作品 山峰 松木 屋舍 文人,绢本 ，设色，167.5X48.3cm，台北故宫博物院藏。图绘文人雅士幽静、闲适的山居生活，远处山峰高耸，悬崖峭壁，山脚下松木粗壮遒劲，一排房舍隐蔽在崇山峻岭之间，几位文人坐在屋内读书论文，清松悠闲，楼阁下方有瀑水迂迴曲折流出。
869,溪山秋色图全卷,创作者： 蓝瑛 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 23.8×180cm,风景画作 山 树 石,绢本，设色，画芯23.8*172cm，全卷23.8*406cm，天津市艺术博物馆藏。图绘右起大片水域，远山蒙蒙，云气蒸腾；中部山石突起，溪水潺潺蜿蜒从山间流过。技法上，用淡墨淡彩渲染出一派澄明清润的南国初秋景象，气韵生动，笔法简清爽利，色彩浓淡相宜，具透明感。
870,林亭清话图扇面12,"创作者： 陈洪绶 风格流派： 文人画 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 20.3 x55.9cm 收藏地点： 大都会艺术博物馆",中国扇面花鸟画 兰花 山石 竹,
